idade,emprego,estado_civil,educacao,saldo_bancario,possui_casa,emprestimo,dia,mes,duracao,qtd_contato,deposito
27,management,single,tertiary,12956,1,0,29,5,789,3,1
30,admin.,married,secondary,873,1,0,29,5,792,3,1
45,blue-collar,divorced,primary,594,1,0,29,5,833,2,1
29,blue-collar,single,secondary,-20,1,0,29,5,814,2,1
38,management,divorced,tertiary,4692,1,0,29,5,1363,2,1
30,blue-collar,married,secondary,486,1,0,29,5,1109,3,1
44,blue-collar,single,primary,1593,1,0,29,5,828,3,1
36,management,single,tertiary,7606,1,0,30,5,917,1,1
38,technician,married,secondary,226,1,0,30,5,762,3,1
36,blue-collar,single,secondary,366,1,1,30,5,1133,2,1
37,management,divorced,secondary,16,1,0,30,5,638,1,1
35,management,single,tertiary,565,1,0,30,5,763,1,1
38,admin.,divorced,secondary,19,1,0,30,5,604,2,1
40,services,married,primary,1082,1,0,30,5,854,2,1
42,unemployed,divorced,secondary,1713,1,0,30,5,855,2,1
46,management,divorced,tertiary,14481,1,0,30,5,1269,1,1
35,technician,divorced,secondary,5724,1,0,30,5,691,10,1
34,technician,divorced,secondary,1451,1,0,30,5,1097,15,1
32,services,married,secondary,-34,1,0,30,5,1236,2,1
50,unemployed,married,secondary,3674,1,0,30,5,886,3,1
35,blue-collar,married,secondary,698,1,1,30,5,1343,3,1
36,technician,single,secondary,4136,1,0,30,5,812,3,1
53,blue-collar,divorced,primary,2656,1,0,30,5,1980,2,1
46,management,single,tertiary,2904,1,0,30,5,984,2,1
26,management,single,tertiary,1004,1,0,30,5,228,2,1
45,technician,single,secondary,410,1,0,30,5,891,4,1
31,unemployed,divorced,primary,0,1,0,30,5,745,12,1
29,management,single,tertiary,0,1,0,30,5,539,12,1
53,entrepreneur,single,secondary,62,1,0,30,5,1044,5,1
27,blue-collar,married,primary,416,1,0,30,5,1193,2,1
39,management,married,tertiary,2763,1,0,2,6,526,2,1
36,services,married,secondary,2984,1,0,2,6,394,1,1
41,blue-collar,married,primary,143,1,1,2,6,659,2,1
36,services,married,primary,0,1,0,2,6,1036,1,1
32,technician,married,secondary,696,1,0,2,6,815,1,1
35,services,married,secondary,152,1,0,2,6,563,1,1
36,management,single,tertiary,-78,1,0,2,6,1068,1,1
35,management,married,tertiary,867,1,0,2,6,230,3,1
30,blue-collar,single,secondary,953,1,0,2,6,747,2,1
42,blue-collar,married,secondary,443,1,0,2,6,671,5,1
42,technician,single,secondary,-1129,1,0,2,6,555,5,1
32,blue-collar,married,primary,415,1,0,2,6,777,4,1
29,blue-collar,single,secondary,260,1,0,2,6,707,14,1
44,management,divorced,tertiary,-411,1,0,2,6,432,4,1
32,technician,single,secondary,1279,1,0,3,6,1173,3,1
31,unemployed,married,secondary,86,1,1,3,6,963,2,1
40,self-employed,married,secondary,-754,1,1,3,6,941,3,1
43,entrepreneur,married,secondary,0,0,0,3,6,1025,7,1
27,management,single,secondary,178,1,0,3,6,732,2,1
37,services,single,secondary,278,1,0,3,6,1045,3,1
23,services,single,secondary,425,1,0,3,6,768,1,1
25,management,married,primary,168,1,0,3,6,801,1,1
26,blue-collar,single,secondary,-36,1,0,3,6,482,2,1
47,blue-collar,divorced,primary,126,1,0,3,6,2456,2,1
35,admin.,married,secondary,-87,1,0,3,6,1363,7,1
32,technician,single,tertiary,6281,1,0,3,6,1336,4,1
45,management,divorced,secondary,644,1,0,4,6,633,1,1
30,admin.,divorced,secondary,377,1,0,4,6,524,15,1
29,services,single,secondary,-271,1,0,4,6,578,1,1
38,blue-collar,married,primary,5839,1,0,4,6,984,2,1
23,blue-collar,single,secondary,492,1,0,4,6,638,1,1
27,management,single,tertiary,99,1,0,4,6,767,2,1
27,management,single,tertiary,-713,1,0,4,6,525,2,1
29,services,single,secondary,32,1,0,4,6,563,1,1
30,self-employed,married,tertiary,543,1,1,4,6,1449,6,1
36,blue-collar,married,primary,403,1,0,4,6,920,1,1
35,admin.,divorced,secondary,437,1,0,4,6,908,1,1
36,blue-collar,married,secondary,1772,0,0,5,6,208,1,1
59,retired,divorced,primary,-88,1,0,5,6,910,2,1
47,entrepreneur,married,secondary,0,0,0,5,6,1446,1,1
58,entrepreneur,married,tertiary,853,0,0,5,6,1149,2,1
37,management,single,tertiary,240,0,0,5,6,1123,1,1
46,admin.,single,secondary,849,1,0,5,6,508,2,1
43,blue-collar,single,secondary,318,1,0,5,6,736,2,1
27,management,single,tertiary,703,1,0,5,6,590,3,1
38,services,divorced,secondary,61,0,0,5,6,636,1,1
53,housemaid,married,primary,104,0,1,5,6,701,1,1
47,blue-collar,married,secondary,1996,0,0,5,6,761,2,1
56,housemaid,divorced,primary,1238,0,0,5,6,1558,1,1
41,housemaid,married,secondary,879,0,0,5,6,1053,2,1
29,self-employed,married,secondary,425,1,0,5,6,562,15,1
50,technician,married,secondary,416,1,0,5,6,494,5,1
45,blue-collar,divorced,primary,844,0,0,5,6,1018,3,1
35,blue-collar,married,secondary,860,1,0,5,6,884,4,1
26,technician,single,secondary,639,1,0,6,6,709,5,1
26,admin.,married,secondary,710,1,1,6,6,1276,2,1
37,blue-collar,married,unknown,1508,0,1,6,6,381,2,1
30,admin.,single,secondary,223,1,0,6,6,862,11,1
38,management,single,tertiary,619,1,0,6,6,460,4,1
37,services,divorced,secondary,319,1,0,6,6,467,3,1
53,technician,married,secondary,480,0,0,6,6,648,2,1
29,blue-collar,single,primary,213,1,0,6,6,2653,3,1
35,management,single,tertiary,68,0,0,6,6,1085,1,1
28,blue-collar,married,secondary,2788,1,0,6,6,369,2,1
55,blue-collar,married,unknown,7561,0,0,6,6,685,3,1
49,management,divorced,secondary,-46,1,0,9,6,1055,10,1
50,services,married,secondary,1595,0,0,9,6,882,1,1
43,management,single,tertiary,1046,0,0,9,6,901,1,1
58,self-employed,divorced,tertiary,1382,0,0,9,6,700,1,1
38,technician,married,primary,217,1,0,9,6,491,6,1
48,blue-collar,divorced,primary,183,0,0,9,6,940,1,1
59,management,married,secondary,1321,0,0,9,6,3881,3,1
58,blue-collar,married,secondary,25,0,0,9,6,486,3,1
36,self-employed,single,tertiary,4844,0,0,9,6,1137,3,1
42,entrepreneur,married,tertiary,5345,0,0,11,6,878,3,1
41,admin.,single,secondary,812,0,1,11,6,583,4,1
42,admin.,married,secondary,105,0,0,11,6,1159,4,1
39,management,married,tertiary,-190,0,1,11,6,893,8,1
57,housemaid,married,primary,625,0,1,11,6,867,1,1
52,retired,married,unknown,293,0,0,11,6,706,1,1
59,retired,married,unknown,1033,0,0,11,6,1199,1,1
56,blue-collar,married,secondary,1210,0,0,11,6,935,1,1
49,management,married,tertiary,64,0,0,11,6,586,1,1
35,blue-collar,divorced,unknown,164,0,0,11,6,967,2,1
36,unemployed,married,secondary,1766,0,0,11,6,595,2,1
40,admin.,single,tertiary,1248,0,0,11,6,1290,2,1
55,blue-collar,married,secondary,0,0,0,12,6,614,2,1
58,admin.,married,secondary,826,0,0,12,6,885,1,1
39,self-employed,married,tertiary,2630,0,0,12,6,651,5,1
47,housemaid,single,tertiary,3727,0,0,12,6,993,6,1
40,management,married,secondary,406,1,0,12,6,577,2,1
35,blue-collar,married,tertiary,2999,0,0,12,6,1141,6,1
48,blue-collar,married,secondary,1000,1,0,12,6,1268,2,1
48,management,divorced,tertiary,503,0,1,12,6,1243,7,1
24,blue-collar,single,secondary,-203,1,0,12,6,465,3,1
49,blue-collar,married,primary,361,1,0,16,6,513,2,1
36,blue-collar,married,secondary,274,1,0,16,6,686,11,1
52,retired,divorced,tertiary,3687,1,1,16,6,741,4,1
42,entrepreneur,single,unknown,323,0,0,16,6,617,1,1
36,services,married,secondary,981,0,0,16,6,1093,1,1
36,blue-collar,divorced,secondary,638,1,0,16,6,1395,2,1
48,unemployed,single,tertiary,3229,0,0,16,6,1089,1,1
51,management,single,secondary,1610,1,0,16,6,1248,3,1
51,blue-collar,married,secondary,33,0,1,16,6,721,3,1
46,technician,married,secondary,536,1,0,16,6,750,2,1
37,management,married,tertiary,0,0,0,16,6,637,6,1
36,entrepreneur,married,tertiary,3057,0,0,16,6,2769,4,1
47,management,married,secondary,2892,0,0,17,6,556,1,1
40,technician,divorced,tertiary,0,0,0,17,6,522,1,1
38,student,single,tertiary,3316,0,0,17,6,1345,3,1
40,management,married,secondary,106,0,0,17,6,676,2,1
39,blue-collar,married,primary,2303,1,0,17,6,775,3,1
60,management,married,tertiary,3301,0,0,17,6,2621,3,1
39,self-employed,single,tertiary,426,0,0,18,6,1029,1,1
51,services,divorced,secondary,9,0,0,18,6,371,2,1
27,admin.,married,secondary,-97,1,0,18,6,1528,2,1
41,management,single,tertiary,11008,0,0,18,6,1540,1,1
42,blue-collar,single,primary,4930,0,0,18,6,973,1,1
41,entrepreneur,married,secondary,707,0,0,18,6,707,1,1
33,technician,married,secondary,4,1,1,18,6,625,2,1
46,admin.,married,secondary,126,0,0,18,6,1255,1,1
31,blue-collar,married,secondary,671,1,0,18,6,704,4,1
41,blue-collar,married,primary,219,0,1,18,6,1574,3,1
41,blue-collar,divorced,secondary,3622,0,0,19,6,1135,4,1
55,retired,divorced,secondary,1580,0,1,19,6,1007,1,1
53,technician,married,secondary,1319,0,0,19,6,1318,3,1
55,housemaid,married,primary,2152,0,0,19,6,922,2,1
39,services,married,secondary,2843,1,0,19,6,585,1,1
40,entrepreneur,married,tertiary,0,0,0,19,6,952,4,1
59,retired,married,primary,1115,0,0,19,6,834,1,1
42,blue-collar,single,secondary,625,0,0,19,6,651,3,1
41,blue-collar,married,primary,246,0,0,19,6,683,3,1
27,blue-collar,married,secondary,61,1,0,19,6,1012,1,1
25,blue-collar,single,secondary,-191,1,0,19,6,958,7,1
43,unemployed,married,primary,519,0,0,20,6,973,2,1
44,services,married,secondary,522,0,1,20,6,911,1,1
26,blue-collar,single,secondary,-46,1,0,20,6,382,7,1
52,retired,married,tertiary,2269,0,0,20,6,1210,1,1
54,services,married,unknown,386,0,1,20,6,838,1,1
56,management,married,tertiary,0,0,1,20,6,422,1,1
57,management,married,tertiary,9103,0,1,20,6,1098,2,1
29,blue-collar,single,secondary,908,1,0,20,6,1663,1,1
47,technician,married,tertiary,1694,0,1,20,6,560,3,1
57,management,married,tertiary,-92,1,1,20,6,1617,1,1
40,blue-collar,married,secondary,188,1,1,20,6,570,2,1
46,services,divorced,secondary,0,0,0,20,6,1023,3,1
43,blue-collar,single,secondary,740,1,0,20,6,585,2,1
45,management,married,tertiary,655,0,0,20,6,693,3,1
24,management,married,secondary,867,1,0,20,6,546,10,1
40,blue-collar,married,secondary,1009,1,1,20,6,1036,5,1
38,services,divorced,unknown,6360,0,0,20,6,1409,2,1
36,unemployed,married,tertiary,4145,0,0,20,6,988,4,1
27,blue-collar,single,secondary,-27,0,0,23,6,498,2,1
26,admin.,single,primary,-122,1,0,23,6,670,3,1
43,management,married,tertiary,149,1,0,23,6,662,2,1
25,blue-collar,single,primary,52,1,0,24,6,528,2,1
27,blue-collar,married,tertiary,335,1,0,26,6,519,3,1
30,technician,married,tertiary,526,1,1,26,6,677,3,1
28,admin.,single,secondary,-7,0,1,26,6,3183,2,1
27,blue-collar,married,primary,-413,0,1,27,6,422,6,1
32,admin.,divorced,secondary,-241,0,1,27,6,856,2,1
41,blue-collar,single,secondary,75,1,0,1,7,479,9,1
37,technician,single,tertiary,0,0,0,1,7,1135,2,1
27,technician,single,secondary,158,0,0,1,7,650,2,1
29,services,single,secondary,84,0,1,3,7,587,3,1
33,services,married,secondary,114,0,1,3,7,676,1,1
36,technician,married,primary,0,0,0,4,7,584,1,1
28,blue-collar,single,secondary,-127,1,0,4,7,1044,3,1
55,blue-collar,married,secondary,49,1,0,7,7,494,4,1
51,technician,married,secondary,216,0,0,7,7,615,2,1
39,technician,single,secondary,506,1,0,7,7,718,2,1
42,blue-collar,divorced,primary,213,1,0,7,7,434,3,1
33,services,single,secondary,170,0,0,7,7,782,1,1
36,entrepreneur,divorced,tertiary,776,0,1,7,7,722,3,1
45,technician,married,secondary,879,0,0,7,7,621,2,1
37,self-employed,married,secondary,1633,0,0,7,7,629,2,1
46,unemployed,married,secondary,926,0,0,7,7,385,5,1
32,self-employed,single,tertiary,2559,0,0,7,7,889,1,1
28,technician,single,secondary,909,0,1,7,7,532,1,1
45,admin.,divorced,secondary,-176,0,1,7,7,574,1,1
41,blue-collar,single,secondary,1085,1,1,7,7,599,1,1
59,blue-collar,divorced,primary,1265,0,1,7,7,849,1,1
47,technician,single,secondary,-239,1,1,7,7,973,3,1
31,blue-collar,single,secondary,726,0,0,7,7,719,2,1
31,management,single,tertiary,296,0,1,8,7,509,4,1
33,entrepreneur,married,secondary,-627,1,1,8,7,740,1,1
52,entrepreneur,married,tertiary,-468,0,0,8,7,534,1,1
26,self-employed,single,secondary,551,0,0,8,7,531,1,1
25,technician,single,secondary,0,0,1,8,7,634,1,1
25,blue-collar,married,secondary,101,0,1,8,7,460,3,1
28,blue-collar,single,secondary,517,0,1,8,7,681,1,1
33,entrepreneur,divorced,tertiary,37,0,1,8,7,1082,1,1
45,management,divorced,tertiary,854,0,1,8,7,730,1,1
36,services,married,secondary,30,0,1,8,7,716,5,1
26,blue-collar,single,secondary,81,0,1,8,7,803,2,1
38,technician,married,secondary,0,0,0,8,7,635,1,1
56,blue-collar,single,secondary,663,0,1,8,7,819,3,1
26,admin.,single,secondary,102,0,1,8,7,658,2,1
26,technician,married,secondary,370,0,1,8,7,1061,4,1
25,blue-collar,single,secondary,189,0,1,8,7,687,2,1
26,unemployed,single,secondary,111,0,0,9,7,537,1,1
40,blue-collar,married,primary,665,1,0,9,7,781,1,1
37,admin.,married,primary,214,1,0,9,7,645,1,1
43,blue-collar,single,primary,0,0,0,9,7,1242,1,1
41,services,divorced,tertiary,1583,1,0,9,7,662,1,1
49,blue-collar,married,secondary,0,0,1,9,7,625,1,1
29,admin.,divorced,tertiary,0,0,1,9,7,426,3,1
39,services,divorced,secondary,687,1,0,9,7,869,1,1
38,management,married,tertiary,327,1,1,9,7,556,5,1
26,technician,married,secondary,-119,0,1,9,7,359,5,1
32,management,married,tertiary,794,1,1,9,7,1014,1,1
33,blue-collar,married,primary,-191,1,1,9,7,1290,4,1
31,management,single,tertiary,409,0,1,9,7,564,5,1
49,blue-collar,married,primary,3,0,1,9,7,1439,6,1
27,unemployed,single,primary,9,0,1,9,7,919,2,1
30,blue-collar,single,secondary,155,1,1,9,7,1426,3,1
35,blue-collar,married,secondary,1330,0,0,10,7,901,1,1
26,blue-collar,single,secondary,-29,1,0,10,7,998,4,1
45,entrepreneur,married,unknown,3133,1,1,10,7,804,1,1
34,admin.,married,secondary,-33,1,1,10,7,961,1,1
28,admin.,single,secondary,-170,0,1,10,7,720,2,1
25,blue-collar,single,secondary,1243,0,1,10,7,1341,7,1
30,blue-collar,single,secondary,1598,1,0,10,7,634,1,1
30,services,married,secondary,5,0,1,10,7,829,5,1
47,services,married,secondary,367,1,0,10,7,476,4,1
57,admin.,divorced,secondary,658,0,0,10,7,724,1,1
38,management,married,tertiary,1722,1,0,10,7,500,1,1
54,technician,married,secondary,-315,0,1,10,7,2029,1,1
25,blue-collar,single,primary,2483,0,0,10,7,1499,3,1
30,blue-collar,married,secondary,0,1,1,10,7,1399,1,1
26,management,single,tertiary,45,0,0,10,7,1187,3,1
31,student,married,primary,46,1,0,10,7,487,1,1
29,blue-collar,single,secondary,482,0,1,10,7,1097,3,1
49,blue-collar,married,secondary,3728,1,0,11,7,1060,2,1
60,retired,divorced,secondary,1099,0,0,11,7,764,2,1
60,management,married,tertiary,2222,1,0,11,7,1120,2,1
29,management,single,tertiary,983,1,0,11,7,963,2,1
55,management,divorced,secondary,204,1,0,11,7,1973,2,1
44,admin.,married,secondary,1074,1,0,11,7,911,2,1
47,technician,married,secondary,3466,1,0,11,7,853,2,1
35,admin.,married,secondary,-203,1,0,11,7,1649,2,1
35,entrepreneur,married,secondary,2436,0,1,14,7,1397,3,1
38,technician,married,secondary,976,1,0,14,7,766,3,1
34,entrepreneur,married,tertiary,146,1,0,14,7,788,2,1
50,technician,married,secondary,156,0,1,14,7,1130,3,1
43,admin.,married,tertiary,189,1,0,14,7,1062,4,1
44,admin.,divorced,secondary,163,1,0,14,7,1669,2,1
51,services,divorced,secondary,242,0,1,14,7,1336,4,1
31,technician,married,secondary,1173,1,0,14,7,444,3,1
39,technician,married,tertiary,0,1,0,14,7,894,7,1
59,management,married,tertiary,296,0,1,15,7,805,3,1
25,services,single,secondary,333,0,1,15,7,1056,2,1
58,management,married,tertiary,3864,1,0,15,7,815,4,1
30,entrepreneur,married,primary,2686,1,0,15,7,808,3,1
34,blue-collar,single,primary,-109,1,0,15,7,860,4,1
51,services,divorced,secondary,65,0,1,15,7,881,1,1
60,retired,married,secondary,597,0,0,15,7,981,1,1
51,entrepreneur,married,secondary,-799,0,1,15,7,1001,3,1
37,management,divorced,tertiary,1775,0,0,15,7,514,5,1
30,blue-collar,single,primary,0,0,0,15,7,716,3,1
46,entrepreneur,divorced,secondary,-563,0,1,15,7,769,4,1
29,student,single,tertiary,5,0,0,15,7,889,5,1
27,entrepreneur,married,tertiary,139,0,0,15,7,448,5,1
28,management,single,tertiary,0,1,0,16,7,767,5,1
34,blue-collar,single,secondary,855,1,0,16,7,578,1,1
29,blue-collar,single,unknown,694,1,1,16,7,1806,4,1
27,management,single,tertiary,151,1,0,16,7,496,1,1
26,technician,single,secondary,354,0,0,16,7,586,1,1
36,management,married,tertiary,673,1,0,16,7,689,1,1
44,blue-collar,married,primary,1265,1,0,16,7,555,1,1
39,blue-collar,married,tertiary,597,0,0,16,7,686,6,1
30,technician,married,secondary,-393,1,1,16,7,435,1,1
31,unemployed,divorced,tertiary,256,1,0,16,7,873,2,1
56,blue-collar,married,primary,0,1,0,16,7,1222,1,1
